Gene_ID	NC_8ss_rep1	NC_8ss_rep2	NC_8ss_rep3	NC_8ss_rep4	NC_5ss_rep1	NC_5ss_rep2	NC_5ss_rep3	NC_5ss_rep4	Neg_rep1	Neg_rep2	Neg_rep3
ENSGALG00000043872	3	10	0	2	10	3	36	0	6	4	6
ENSGALG00000054983	0	0	0	0	0	0	0	0	0	3	2
ENSGALG00000007025	248	253	172	108	153	162	82	75	94	60	97
ENSGALG00000040272	643	766	729	689	1389	1408	879	686	823	1005	995
ENSGALG00000013018	3020	2802	4953	4273	2969	2618	2418	3598	2216	2642	3047
ENSGALG00000004897	2505	3201	3543	4301	4646	4807	4174	5476	3394	2313	4126
ENSGALG00000031922	228	191	338	216	228	140	241	271	155	378	358
ENSGALG00000043355	894	1021	382	563	1178	290	1834	812	239	486	635
ENSGALG00000054287	123	108	49	70	176	137	33	44	49	15	24
ENSGALG00000034274	352	227	213	379	177	172	263	313	146	371	252
ENSGALG00000048109	25	24	22	13	25	34	31	35	22	17	21
ENSGALG00000046989	0	2	0	0	0	0	0	0	0	1	0
ENSGALG00000019397	278	343	660	721	497	525	537	679	407	875	780
ENSGALG00000052352	23	8	25	38	0	29	7	19	0	8	12
ENSGALG00000043058	642	668	762	711	809	925	742	886	953	901	886
ENSGALG00000048010	0	0	0	0	2	0	1	0	3	0	0
ENSGALG00000051900	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000047843	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000048481	6	1	24	32	7	0	16	1	0	0	1
ENSGALG00000050263	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000052402	1	2	0	2	0	1	2	1	3	2	1
ENSGALG00000023584	41	31	10	47	0	2	55	19	6	46	27
ENSGALG00000048222	80	113	44	37	234	293	115	113	88	25	30
ENSGALG00000048715	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000051371	0	0	2	0	1	0	0	0	0	3	0
ENSGALG00000054009	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000029379	2496	2718	2074	3198	3049	2918	4181	3396	2052	3668	3708
ENSGALG00000032659	1871	1820	2256	3458	2358	2049	3130	2782	1578	2567	2116
ENSGALG00000052308	0	0	0	4	0	1	0	0	0	3	0
ENSGALG00000008539	1962	1451	3044	2862	1983	2221	2486	2831	2076	2824	2947
ENSGALG00000008551	345	214	504	426	271	161	511	440	163	599	459
ENSGALG00000054568	1	1	0	2	3	1	0	0	0	0	0
ENSGALG00000051204	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000050602	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000023576	19	51	50	115	79	17	70	93	92	145	203
ENSGALG00000049901	0	0	0	0	0	2	0	0	1	0	1
ENSGALG00000008554	243	133	157	267	34	45	2	40	0	2	10
ENSGALG00000040038	95	104	42	113	58	172	41	15	3	19	38
ENSGALG00000033664	42	48	27	17	81	47	44	8	71	6	9
ENSGALG00000000003	28	91	89	248	82	46	85	130	66	71	28
ENSGALG00000030705	2775	2274	3753	3081	2337	2169	2832	2610	1467	3296	2727
ENSGALG00000038467	334	244	562	379	284	390	632	489	193	592	514
ENSGALG00000032156	305	410	440	511	666	494	727	687	461	813	817
ENSGALG00000051829	40	47	41	88	49	50	58	99	70	177	255
ENSGALG00000051043	267	223	201	307	326	254	354	414	309	298	337
ENSGALG00000041251	269	218	148	235	493	281	283	348	339	174	188
ENSGALG00000008635	92	310	727	645	351	1149	1234	1491	10269	14207	28577
ENSGALG00000019384	192	276	237	189	484	517	269	371	487	377	411
ENSGALG00000040023	156	298	181	335	383	311	333	500	546	374	732
ENSGALG00000048447	0	0	0	0	0	0	0	0	0	3	3
ENSGALG00000047054	1	13	20	5	1	0	11	16	46	101	79
ENSGALG00000039861	1649	1984	937	1174	2106	1214	1855	1414	2769	2177	2466
ENSGALG00000049506	36	43	2	26	32	4	33	17	28	25	23
ENSGALG00000052942	0	1	0	0	0	0	0	0	0	0	0
ENSGALG00000033997	941	764	835	928	1225	782	739	656	639	596	694
ENSGALG00000039403	40	40	0	2	58	45	28	72	10	9	35
ENSGALG00000025697	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000049783	1	1	1	0	1	2	0	1	0	1	1
ENSGALG00000008740	2081	1776	1342	1979	2931	2341	1633	2021	2152	895	1045
ENSGALG00000050462	10	2	0	0	18	14	2	2	0	0	6
ENSGALG00000040954	322	463	460	662	507	204	567	377	242	409	375
ENSGALG00000031527	185	181	178	229	318	278	274	286	193	540	262
ENSGALG00000008761	33	55	20	61	156	149	256	155	20	28	64
ENSGALG00000008776	1	2	2	5	0	0	3	0	3	0	3
ENSGALG00000054326	65	105	103	68	37	50	56	73	67	61	79
ENSGALG00000008797	1082	878	2042	1711	1133	794	1645	1735	899	2761	1923
ENSGALG00000008805	0	7	5	15	9	6	28	0	29	31	37
ENSGALG00000008814	0	14	1	0	19	0	26	0	0	1	0
ENSGALG00000008821	3344	2966	5293	4116	4368	3065	3049	4425	3409	4452	3385
ENSGALG00000008823	81	167	102	147	133	83	125	123	78	63	100
ENSGALG00000008836	648	736	1317	978	556	363	729	722	351	1276	841
ENSGALG00000008874	33	25	0	19	18	31	20	10	8	9	20
ENSGALG00000008926	248	463	366	540	418	476	786	379	75	109	141
ENSGALG00000054487	6	17	66	63	10	27	23	29	14	60	47
ENSGALG00000008941	2	8	23	16	9	8	15	13	2	5	22
ENSGALG00000008953	111	42	47	19	74	82	58	57	107	35	118
ENSGALG00000040114	930	1093	785	1209	326	496	347	227	92	202	126
ENSGALG00000052468	0	0	0	0	1	0	0	0	0	0	1
ENSGALG00000025193	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000008975	653	530	941	846	833	794	859	1123	998	2389	1824
ENSGALG00000028069	0	1	0	12	0	0	3	13	4	7	2
ENSGALG00000009002	6	36	1	6	1	0	13	30	379	95	161
ENSGALG00000025216	0	0	0	0	0	0	0	0	0	2	0
ENSGALG00000009023	838	914	747	1043	1582	1811	850	1369	1838	1162	1683
ENSGALG00000009029	442	290	532	483	708	297	617	490	303	801	670
ENSGALG00000009066	17	38	14	38	51	46	83	95	23	27	2
ENSGALG00000036488	0	0	0	0	0	0	0	0	0	2	0
ENSGALG00000050581	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000047604	0	0	0	0	0	4	4	0	0	0	0
ENSGALG00000047004	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000009104	1192	1193	862	1905	1412	1845	1472	1318	853	1130	1087
ENSGALG00000009110	3496	3327	4860	3579	4563	3522	3143	3684	3059	4608	3270
